distance,tick,phi,ineye,target1,theta,target2,event_name,match_id
112,0,20,1,7,-20,0,hltv_chase,c3ddd683
96,445,-20,1,11,30,0,hltv_chase,c3ddd683
96,823,-20,1,5,30,0,hltv_chase,c3ddd683
96,1085,-20,1,3,-30,11,hltv_chase,c3ddd683
96,1441,-20,1,9,30,4,hltv_chase,c3ddd683
96,1697,-20,1,9,-30,4,hltv_chase,c3ddd683
96,2023,-20,1,13,-30,5,hltv_chase,c3ddd683
96,2557,-20,1,12,30,8,hltv_chase,c3ddd683
96,2981,-20,1,12,-30,11,hltv_chase,c3ddd683
96,3461,-20,1,6,30,9,hltv_chase,c3ddd683
112,3783,20,1,4,20,2,hltv_chase,c3ddd683
96,4295,-20,1,12,30,0,hltv_chase,c3ddd683
96,4713,-20,1,3,30,0,hltv_chase,c3ddd683
96,5247,-20,1,4,30,0,hltv_chase,c3ddd683
96,5737,-20,1,2,30,0,hltv_chase,c3ddd683
112,6195,20,1,2,-20,0,hltv_chase,c3ddd683
112,6579,20,1,4,-20,6,hltv_chase,c3ddd683
112,6963,20,1,2,20,0,hltv_chase,c3ddd683
112,7347,20,1,4,20,3,hltv_chase,c3ddd683
96,7731,-20,1,11,30,12,hltv_chase,c3ddd683
112,8063,20,1,9,-20,0,hltv_chase,c3ddd683
96,8447,-20,1,8,30,0,hltv_chase,c3ddd683
112,8689,20,1,13,-20,3,hltv_chase,c3ddd683
96,9073,-20,1,8,30,13,hltv_chase,c3ddd683
96,9267,-20,1,3,30,0,hltv_chase,c3ddd683
96,9519,-20,1,8,30,0,hltv_chase,c3ddd683
96,10055,-20,1,6,30,9,hltv_chase,c3ddd683
96,10281,-20,1,8,-30,3,hltv_chase,c3ddd683
96,10747,-20,1,5,-30,6,hltv_chase,c3ddd683
500,11219,45,1,8,180,0,hltv_chase,c3ddd683
96,11421,-20,1,6,30,0,hltv_chase,c3ddd683
112,11987,20,1,5,-20,0,hltv_chase,c3ddd683
112,12499,20,1,13,20,12,hltv_chase,c3ddd683
112,12883,20,1,4,-20,3,hltv_chase,c3ddd683
96,13267,-20,1,11,30,0,hltv_chase,c3ddd683
96,13683,-20,1,8,30,0,hltv_chase,c3ddd683
96,14047,-20,1,2,30,0,hltv_chase,c3ddd683
96,14439,-20,1,9,30,0,hltv_chase,c3ddd683
112,14723,20,1,2,20,5,hltv_chase,c3ddd683
96,15107,-20,1,13,30,0,hltv_chase,c3ddd683
96,15647,-20,1,13,30,0,hltv_chase,c3ddd683
96,16083,-20,1,5,30,6,hltv_chase,c3ddd683
96,16489,-20,1,2,30,0,hltv_chase,c3ddd683
96,16799,-20,1,12,30,8,hltv_chase,c3ddd683
96,17279,-20,1,4,30,0,hltv_chase,c3ddd683
112,17755,20,1,2,20,8,hltv_chase,c3ddd683
96,18139,-20,1,6,30,0,hltv_chase,c3ddd683
96,18677,-20,1,11,30,4,hltv_chase,c3ddd683
96,19071,-20,1,12,30,11,hltv_chase,c3ddd683
112,19611,20,1,6,-20,0,hltv_chase,c3ddd683
96,19995,-20,1,3,30,9,hltv_chase,c3ddd683
96,20565,-20,1,5,30,6,hltv_chase,c3ddd683
500,20821,45,1,12,180,0,hltv_chase,c3ddd683
96,21377,-20,1,8,-30,12,hltv_chase,c3ddd683
96,21903,-20,1,3,-30,8,hltv_chase,c3ddd683
112,22345,20,1,13,-20,0,hltv_chase,c3ddd683
112,22729,20,1,13,-20,0,hltv_chase,c3ddd683
96,23242,-20,1,13,30,0,hltv_chase,c3ddd683
112,23568,20,1,12,-20,13,hltv_chase,c3ddd683
112,23952,20,1,6,20,4,hltv_chase,c3ddd683
96,24336,-20,1,13,30,0,hltv_chase,c3ddd683
96,24734,-20,1,12,30,0,hltv_chase,c3ddd683
96,25008,-20,1,12,30,2,hltv_chase,c3ddd683
96,25418,-20,1,5,-30,4,hltv_chase,c3ddd683
96,25938,-20,1,5,-30,3,hltv_chase,c3ddd683
112,26134,20,1,13,20,0,hltv_chase,c3ddd683
96,26518,-20,1,13,30,0,hltv_chase,c3ddd683
112,26810,20,1,13,20,6,hltv_chase,c3ddd683
96,27194,-20,1,6,30,0,hltv_chase,c3ddd683
96,27490,-20,1,13,30,0,hltv_chase,c3ddd683
96,27726,-20,1,8,-30,13,hltv_chase,c3ddd683
112,28074,20,1,6,-20,0,hltv_chase,c3ddd683
96,28585,-20,1,13,30,0,hltv_chase,c3ddd683
96,28941,-20,1,2,30,0,hltv_chase,c3ddd683
96,29283,-20,1,4,30,0,hltv_chase,c3ddd683
112,29765,20,1,8,20,2,hltv_chase,c3ddd683
96,30149,-20,1,6,30,11,hltv_chase,c3ddd683
96,30497,-20,1,13,30,0,hltv_chase,c3ddd683
96,30775,-20,1,2,30,0,hltv_chase,c3ddd683
96,31123,-20,1,11,30,0,hltv_chase,c3ddd683
96,31663,-20,1,13,30,0,hltv_chase,c3ddd683
96,31861,-20,1,9,30,0,hltv_chase,c3ddd683
96,32261,-20,1,5,30,0,hltv_chase,c3ddd683
96,32557,-20,1,13,30,11,hltv_chase,c3ddd683
96,32943,-20,1,6,30,0,hltv_chase,c3ddd683
96,33299,-20,1,9,30,6,hltv_chase,c3ddd683
96,33687,-20,1,9,-30,13,hltv_chase,c3ddd683
96,34009,-20,1,6,-30,11,hltv_chase,c3ddd683
96,34435,-20,1,8,30,0,hltv_chase,c3ddd683
96,34699,-20,1,4,-30,8,hltv_chase,c3ddd683
112,35081,20,1,2,20,3,hltv_chase,c3ddd683
96,35465,-20,1,3,30,2,hltv_chase,c3ddd683
112,35809,20,1,4,20,6,hltv_chase,c3ddd683
96,36322,-20,1,12,30,0,hltv_chase,c3ddd683
96,36790,-20,1,13,30,0,hltv_chase,c3ddd683
96,37126,-20,1,11,30,0,hltv_chase,c3ddd683
112,37350,20,1,2,20,5,hltv_chase,c3ddd683
112,37734,20,1,2,-20,8,hltv_chase,c3ddd683
96,38118,-20,1,5,30,13,hltv_chase,c3ddd683
96,38402,-20,1,9,30,12,hltv_chase,c3ddd683
96,38900,-20,1,11,-30,4,hltv_chase,c3ddd683
96,39236,-20,1,8,30,0,hltv_chase,c3ddd683
96,39544,-20,1,13,30,0,hltv_chase,c3ddd683
112,39996,20,1,6,-20,3,hltv_chase,c3ddd683
112,40380,20,1,2,20,0,hltv_chase,c3ddd683
96,40764,-20,1,8,30,0,hltv_chase,c3ddd683
96,41330,-20,1,13,-30,2,hltv_chase,c3ddd683
96,41812,-20,1,13,30,0,hltv_chase,c3ddd683
112,42082,20,1,9,-20,13,hltv_chase,c3ddd683
96,42466,-20,1,13,-30,9,hltv_chase,c3ddd683
112,42802,20,1,6,-20,8,hltv_chase,c3ddd683
96,43186,-20,1,6,-30,8,hltv_chase,c3ddd683
500,43410,45,1,3,180,0,hltv_chase,c3ddd683
96,43666,-20,1,3,-30,5,hltv_chase,c3ddd683
112,44088,20,1,5,20,13,hltv_chase,c3ddd683
96,44472,-20,1,5,-30,13,hltv_chase,c3ddd683
112,44712,20,1,5,-20,0,hltv_chase,c3ddd683
112,45096,20,1,5,20,0,hltv_chase,c3ddd683
112,45608,20,1,5,-20,0,hltv_chase,c3ddd683
96,46120,-20,1,6,30,0,hltv_chase,c3ddd683
96,46490,-20,1,13,30,0,hltv_chase,c3ddd683
112,46846,20,1,13,-20,12,hltv_chase,c3ddd683
96,47230,-20,1,12,30,0,hltv_chase,c3ddd683
96,47434,-20,1,5,-30,6,hltv_chase,c3ddd683
96,47986,-20,1,3,30,0,hltv_chase,c3ddd683
96,48548,-20,1,5,30,0,hltv_chase,c3ddd683
112,48828,20,1,13,20,12,hltv_chase,c3ddd683
96,49212,-20,1,3,30,0,hltv_chase,c3ddd683
96,49464,-20,1,13,30,0,hltv_chase,c3ddd683
96,49816,-20,1,2,30,0,hltv_chase,c3ddd683
112,50388,20,1,9,20,5,hltv_chase,c3ddd683
112,50772,20,1,9,-20,5,hltv_chase,c3ddd683
96,51156,-20,1,3,30,0,hltv_chase,c3ddd683
96,51464,-20,1,9,30,0,hltv_chase,c3ddd683
112,51906,20,1,8,-20,12,hltv_chase,c3ddd683
112,52290,20,1,8,20,5,hltv_chase,c3ddd683
112,52674,20,1,5,20,9,hltv_chase,c3ddd683
96,53058,-20,1,5,-30,12,hltv_chase,c3ddd683
96,53500,-20,1,8,30,4,hltv_chase,c3ddd683
112,53720,20,1,11,-20,8,hltv_chase,c3ddd683
96,54233,-20,1,5,30,0,hltv_chase,c3ddd683
112,54693,20,1,2,20,11,hltv_chase,c3ddd683
96,55077,-20,1,4,30,0,hltv_chase,c3ddd683
96,55471,-20,1,12,30,0,hltv_chase,c3ddd683
96,55731,-20,1,9,30,0,hltv_chase,c3ddd683
96,56085,-20,1,8,30,0,hltv_chase,c3ddd683
96,56347,-20,1,5,-30,4,hltv_chase,c3ddd683
112,56813,20,1,5,-20,11,hltv_chase,c3ddd683
96,57197,-20,1,9,-30,3,hltv_chase,c3ddd683
96,57765,-20,1,5,30,0,hltv_chase,c3ddd683
112,58173,20,1,6,-20,12,hltv_chase,c3ddd683
96,58557,-20,1,9,30,12,hltv_chase,c3ddd683
96,59045,-20,1,9,-30,6,hltv_chase,c3ddd683
112,59435,20,1,8,-20,9,hltv_chase,c3ddd683
96,59946,-20,1,2,30,0,hltv_chase,c3ddd683
96,60268,-20,1,6,30,0,hltv_chase,c3ddd683
96,60676,-20,1,4,30,0,hltv_chase,c3ddd683
112,60948,20,1,3,-20,13,hltv_chase,c3ddd683
96,61332,-20,1,12,30,0,hltv_chase,c3ddd683
96,61902,-20,1,4,30,0,hltv_chase,c3ddd683
96,62342,-20,1,4,30,0,hltv_chase,c3ddd683
96,62762,-20,1,4,30,0,hltv_chase,c3ddd683
96,63192,-20,1,3,30,0,hltv_chase,c3ddd683
112,63662,20,1,2,20,8,hltv_chase,c3ddd683
112,64046,20,1,12,-20,4,hltv_chase,c3ddd683
96,64430,-20,1,4,30,9,hltv_chase,c3ddd683
96,64652,-20,1,2,30,0,hltv_chase,c3ddd683
112,65030,20,1,2,-20,9,hltv_chase,c3ddd683
96,65414,-20,1,5,30,0,hltv_chase,c3ddd683
96,65812,-20,1,2,30,0,hltv_chase,c3ddd683
96,66072,-20,1,9,30,0,hltv_chase,c3ddd683
96,66458,-20,1,4,-30,2,hltv_chase,c3ddd683
96,67026,-20,1,12,-30,8,hltv_chase,c3ddd683
96,67418,-20,1,9,-30,12,hltv_chase,c3ddd683
96,67670,-20,1,11,-30,3,hltv_chase,c3ddd683
96,68094,-20,1,11,30,0,hltv_chase,c3ddd683
112,68458,20,1,3,-20,11,hltv_chase,c3ddd683
96,68842,-20,1,11,30,13,hltv_chase,c3ddd683
96,69270,-20,1,6,-30,5,hltv_chase,c3ddd683
112,69684,20,1,6,20,0,hltv_chase,c3ddd683
112,70068,20,1,8,20,9,hltv_chase,c3ddd683
96,70581,-20,1,8,30,0,hltv_chase,c3ddd683
96,70869,-20,1,5,30,0,hltv_chase,c3ddd683
96,71251,-20,1,9,30,0,hltv_chase,c3ddd683
112,71661,20,1,2,-20,8,hltv_chase,c3ddd683
96,72045,-20,1,4,30,5,hltv_chase,c3ddd683
96,72419,-20,1,4,30,0,hltv_chase,c3ddd683
96,72939,-20,1,5,-30,4,hltv_chase,c3ddd683
96,73353,-20,1,12,30,5,hltv_chase,c3ddd683
96,73713,-20,1,12,30,0,hltv_chase,c3ddd683
112,73919,20,1,2,-20,0,hltv_chase,c3ddd683
96,74303,-20,1,3,30,9,hltv_chase,c3ddd683
96,74547,-20,1,12,-30,8,hltv_chase,c3ddd683
96,74937,-20,1,12,-30,2,hltv_chase,c3ddd683
112,75271,20,1,12,20,3,hltv_chase,c3ddd683
96,75783,-20,1,6,30,0,hltv_chase,c3ddd683
96,76133,-20,1,4,30,0,hltv_chase,c3ddd683
96,76329,-20,1,8,30,0,hltv_chase,c3ddd683
112,76819,20,1,9,20,2,hltv_chase,c3ddd683
96,77203,-20,1,6,30,0,hltv_chase,c3ddd683
96,77611,-20,1,4,30,0,hltv_chase,c3ddd683
96,77805,-20,1,5,30,13,hltv_chase,c3ddd683
96,78243,-20,1,12,30,0,hltv_chase,c3ddd683
112,78675,20,1,11,20,13,hltv_chase,c3ddd683
96,79059,-20,1,6,30,9,hltv_chase,c3ddd683
96,79613,-20,1,6,30,0,hltv_chase,c3ddd683
112,79947,20,1,6,-20,0,hltv_chase,c3ddd683
96,80331,-20,1,13,-30,11,hltv_chase,c3ddd683
112,80543,20,1,12,20,8,hltv_chase,c3ddd683
96,80927,-20,1,4,-30,2,hltv_chase,c3ddd683
96,81229,-20,1,3,30,0,hltv_chase,c3ddd683
112,81467,20,1,4,-20,3,hltv_chase,c3ddd683
96,81851,-20,1,12,30,8,hltv_chase,c3ddd683
112,82247,20,1,3,20,0,hltv_chase,c3ddd683
96,82758,-20,1,11,30,0,hltv_chase,c3ddd683
96,82990,-20,1,11,30,0,hltv_chase,c3ddd683
96,83402,-20,1,8,30,0,hltv_chase,c3ddd683
96,83620,-20,1,4,30,0,hltv_chase,c3ddd683
112,83992,20,1,8,20,9,hltv_chase,c3ddd683
96,84376,-20,1,5,30,6,hltv_chase,c3ddd683
96,84856,-20,1,4,30,0,hltv_chase,c3ddd683
96,85168,-20,1,13,30,0,hltv_chase,c3ddd683
96,85508,-20,1,4,30,9,hltv_chase,c3ddd683
96,86012,-20,1,9,-30,4,hltv_chase,c3ddd683
112,86390,20,1,6,20,3,hltv_chase,c3ddd683
96,86774,-20,1,8,30,0,hltv_chase,c3ddd683
96,87054,-20,1,12,30,0,hltv_chase,c3ddd683
96,87450,-20,1,2,30,0,hltv_chase,c3ddd683
96,87682,-20,1,12,30,0,hltv_chase,c3ddd683
112,88076,20,1,8,-20,9,hltv_chase,c3ddd683
96,88460,-20,1,11,30,0,hltv_chase,c3ddd683
112,88824,20,1,2,20,5,hltv_chase,c3ddd683
96,89208,-20,1,12,30,0,hltv_chase,c3ddd683
112,89508,20,1,2,20,8,hltv_chase,c3ddd683
96,89892,-20,1,13,-30,9,hltv_chase,c3ddd683
96,90318,-20,1,3,-30,11,hltv_chase,c3ddd683
96,90746,-20,1,6,30,2,hltv_chase,c3ddd683
112,91036,20,1,5,-20,13,hltv_chase,c3ddd683
96,91548,-20,1,4,30,0,hltv_chase,c3ddd683
