distance,tick,phi,ineye,target1,theta,target2,event_name,match_id
96,92023,-20,1,6,30,0,hltv_chase,c3ddd683
96,92351,-20,1,9,30,0,hltv_chase,c3ddd683
96,92677,-20,1,11,30,0,hltv_chase,c3ddd683
112,93009,20,1,6,-20,12,hltv_chase,c3ddd683
96,93393,-20,1,6,-30,5,hltv_chase,c3ddd683
96,93829,-20,1,9,30,0,hltv_chase,c3ddd683
96,94187,-20,1,2,-30,4,hltv_chase,c3ddd683
96,94735,-20,1,6,-30,5,hltv_chase,c3ddd683
112,95127,20,1,11,20,13,hltv_chase,c3ddd683
112,95511,20,1,2,-20,8,hltv_chase,c3ddd683
96,95895,-20,1,3,-30,11,hltv_chase,c3ddd683
96,96397,-20,1,3,30,5,hltv_chase,c3ddd683
112,96593,20,1,2,20,8,hltv_chase,c3ddd683
112,96977,20,1,2,20,8,hltv_chase,c3ddd683
112,97361,20,1,2,-20,8,hltv_chase,c3ddd683
112,97745,20,1,9,20,5,hltv_chase,c3ddd683
96,98129,-20,1,3,-30,9,hltv_chase,c3ddd683
112,98349,20,1,3,20,0,hltv_chase,c3ddd683
96,98733,-20,1,3,30,0,hltv_chase,c3ddd683
96,99303,-20,1,8,30,0,hltv_chase,c3ddd683
112,99793,20,1,2,20,8,hltv_chase,c3ddd683
112,100177,20,1,8,20,2,hltv_chase,c3ddd683
96,100688,-20,1,6,30,0,hltv_chase,c3ddd683
112,100982,20,1,2,20,11,hltv_chase,c3ddd683
96,101366,-20,1,9,30,0,hltv_chase,c3ddd683
96,101734,-20,1,6,30,0,hltv_chase,c3ddd683
96,102224,-20,1,6,30,0,hltv_chase,c3ddd683
96,102578,-20,1,12,30,0,hltv_chase,c3ddd683
96,102772,-20,1,13,30,0,hltv_chase,c3ddd683
96,103116,-20,1,13,30,0,hltv_chase,c3ddd683
96,103518,-20,1,8,30,0,hltv_chase,c3ddd683
96,103822,-20,1,6,30,11,hltv_chase,c3ddd683
96,104222,-20,1,6,30,0,hltv_chase,c3ddd683
96,104456,-20,1,2,-30,13,hltv_chase,c3ddd683
96,104908,-20,1,2,30,0,hltv_chase,c3ddd683
112,105190,20,1,12,-20,9,hltv_chase,c3ddd683
96,105574,-20,1,5,-30,4,hltv_chase,c3ddd683
96,106042,-20,1,5,30,3,hltv_chase,c3ddd683
96,106612,-20,1,5,30,12,hltv_chase,c3ddd683
112,107102,20,1,9,-20,8,hltv_chase,c3ddd683
96,107615,-20,1,6,30,0,hltv_chase,c3ddd683
96,107813,-20,1,2,30,0,hltv_chase,c3ddd683
96,108373,-20,1,6,30,0,hltv_chase,c3ddd683
112,108743,20,1,11,-20,2,hltv_chase,c3ddd683
96,109127,-20,1,8,30,0,hltv_chase,c3ddd683
96,109415,-20,1,8,30,3,hltv_chase,c3ddd683
96,109971,-20,1,8,-30,12,hltv_chase,c3ddd683
96,110193,-20,1,5,30,6,hltv_chase,c3ddd683
112,110549,20,1,5,20,9,hltv_chase,c3ddd683
112,110933,20,1,9,20,5,hltv_chase,c3ddd683
96,111317,-20,1,4,30,9,hltv_chase,c3ddd683
112,111857,20,1,5,-20,11,hltv_chase,c3ddd683
96,112369,-20,1,13,30,0,hltv_chase,c3ddd683
96,112693,-20,1,9,30,0,hltv_chase,c3ddd683
112,113269,20,1,13,-20,6,hltv_chase,c3ddd683
96,113653,-20,1,2,30,0,hltv_chase,c3ddd683
96,113919,-20,1,6,30,0,hltv_chase,c3ddd683
96,114281,-20,1,5,-30,4,hltv_chase,c3ddd683
112,114789,20,1,6,-20,12,hltv_chase,c3ddd683
96,115173,-20,1,6,30,0,hltv_chase,c3ddd683
112,115459,20,1,2,-20,8,hltv_chase,c3ddd683
96,115843,-20,1,13,30,11,hltv_chase,c3ddd683
96,116213,-20,1,9,-30,13,hltv_chase,c3ddd683
96,116441,-20,1,9,30,3,hltv_chase,c3ddd683
96,116905,-20,1,3,-30,8,hltv_chase,c3ddd683
96,117249,-20,1,3,30,8,hltv_chase,c3ddd683
96,117707,-20,1,12,-30,2,hltv_chase,c3ddd683
112,118231,20,1,3,-20,6,hltv_chase,c3ddd683
112,118615,20,1,3,20,6,hltv_chase,c3ddd683
112,118999,20,1,3,-20,6,hltv_chase,c3ddd683
96,119511,-20,1,13,30,0,hltv_chase,c3ddd683
112,119979,20,1,9,-20,8,hltv_chase,c3ddd683
96,120363,-20,1,2,30,0,hltv_chase,c3ddd683
112,120667,20,1,8,20,2,hltv_chase,c3ddd683
112,121051,20,1,2,20,8,hltv_chase,c3ddd683
112,121435,20,1,4,-20,6,hltv_chase,c3ddd683
112,121819,20,1,2,-20,8,hltv_chase,c3ddd683
112,122203,20,1,11,20,9,hltv_chase,c3ddd683
112,122587,20,1,2,-20,8,hltv_chase,c3ddd683
96,122971,-20,1,6,30,9,hltv_chase,c3ddd683
96,123475,-20,1,3,30,11,hltv_chase,c3ddd683
96,124031,-20,1,13,30,8,hltv_chase,c3ddd683
96,124369,-20,1,12,30,5,hltv_chase,c3ddd683
112,124751,20,1,3,-20,13,hltv_chase,c3ddd683
96,125263,-20,1,12,30,0,hltv_chase,c3ddd683
96,125651,-20,1,6,30,0,hltv_chase,c3ddd683
96,125899,-20,1,4,30,0,hltv_chase,c3ddd683
112,126291,20,1,3,-20,6,hltv_chase,c3ddd683
112,126675,20,1,12,-20,4,hltv_chase,c3ddd683
96,127059,-20,1,12,30,0,hltv_chase,c3ddd683
112,127319,20,1,11,20,8,hltv_chase,c3ddd683
112,127703,20,1,6,-20,4,hltv_chase,c3ddd683
96,128087,-20,1,5,-30,4,hltv_chase,c3ddd683
96,128315,-20,1,5,-30,3,hltv_chase,c3ddd683
96,128853,-20,1,13,-30,8,hltv_chase,c3ddd683
112,129229,20,1,9,-20,0,hltv_chase,c3ddd683
112,129613,20,1,12,-20,9,hltv_chase,c3ddd683
96,129997,-20,1,12,30,9,hltv_chase,c3ddd683
112,130485,20,1,13,20,12,hltv_chase,c3ddd683
112,130997,20,1,2,-20,8,hltv_chase,c3ddd683
96,131381,-20,1,8,30,0,hltv_chase,c3ddd683
96,131707,-20,1,2,30,0,hltv_chase,c3ddd683
112,132075,20,1,8,20,5,hltv_chase,c3ddd683
112,132459,20,1,2,-20,11,hltv_chase,c3ddd683
96,132843,-20,1,4,-30,2,hltv_chase,c3ddd683
96,133047,-20,1,5,30,0,hltv_chase,c3ddd683
96,133433,-20,1,12,30,0,hltv_chase,c3ddd683
96,133777,-20,1,13,30,0,hltv_chase,c3ddd683
112,134267,20,1,2,20,0,hltv_chase,c3ddd683
96,134651,-20,1,2,30,0,hltv_chase,c3ddd683
96,134863,-20,1,11,30,0,hltv_chase,c3ddd683
96,135283,-20,1,5,30,0,hltv_chase,c3ddd683
112,135629,20,1,6,-20,4,hltv_chase,c3ddd683
96,136013,-20,1,9,-30,3,hltv_chase,c3ddd683
96,136489,-20,1,5,-30,4,hltv_chase,c3ddd683
96,136723,-20,1,2,30,0,hltv_chase,c3ddd683
500,137239,45,1,2,180,0,hltv_chase,c3ddd683
96,137471,-20,1,2,30,0,hltv_chase,c3ddd683
96,137671,-20,1,2,30,12,hltv_chase,c3ddd683
112,138095,20,1,2,20,5,hltv_chase,c3ddd683
96,138607,-20,1,11,30,0,hltv_chase,c3ddd683
96,138939,-20,1,12,30,0,hltv_chase,c3ddd683
112,139439,20,1,2,20,8,hltv_chase,c3ddd683
96,139823,-20,1,2,30,0,hltv_chase,c3ddd683
96,140267,-20,1,11,-30,4,hltv_chase,c3ddd683
96,140811,-20,1,5,30,12,hltv_chase,c3ddd683
96,141125,-20,1,9,30,13,hltv_chase,c3ddd683
96,141653,-20,1,3,30,11,hltv_chase,c3ddd683
96,142059,-20,1,8,30,0,hltv_chase,c3ddd683
96,142253,-20,1,9,-30,3,hltv_chase,c3ddd683
112,142713,20,1,2,-20,8,hltv_chase,c3ddd683
96,143224,-20,1,5,30,0,hltv_chase,c3ddd683
96,143612,-20,1,8,30,0,hltv_chase,c3ddd683
96,143976,-20,1,11,30,0,hltv_chase,c3ddd683
96,144366,-20,1,8,30,0,hltv_chase,c3ddd683
96,145064,-20,1,13,-30,9,hltv_chase,c3ddd683
96,145448,-20,1,5,30,0,hltv_chase,c3ddd683
112,145892,20,1,2,20,6,hltv_chase,c3ddd683
112,146276,20,1,8,-20,0,hltv_chase,c3ddd683
112,146660,20,1,2,-20,8,hltv_chase,c3ddd683
112,147044,20,1,2,-20,6,hltv_chase,c3ddd683
96,147428,-20,1,5,30,12,hltv_chase,c3ddd683
96,147714,-20,1,4,30,5,hltv_chase,c3ddd683
500,148268,45,1,2,180,0,hltv_chase,c3ddd683
96,148734,-20,1,2,-30,6,hltv_chase,c3ddd683
96,149010,-20,1,13,-30,8,hltv_chase,c3ddd683
112,149334,20,1,13,20,3,hltv_chase,c3ddd683
96,149847,-20,1,6,30,0,hltv_chase,c3ddd683
96,150191,-20,1,12,30,0,hltv_chase,c3ddd683
96,150591,-20,1,2,30,0,hltv_chase,c3ddd683
96,150941,-20,1,2,30,0,hltv_chase,c3ddd683
96,151147,-20,1,8,30,0,hltv_chase,c3ddd683
96,151473,-20,1,12,30,0,hltv_chase,c3ddd683
96,151825,-20,1,12,-30,2,hltv_chase,c3ddd683
112,152331,20,1,8,-20,13,hltv_chase,c3ddd683
96,152715,-20,1,13,30,9,hltv_chase,c3ddd683
112,153097,20,1,5,-20,8,hltv_chase,c3ddd683
96,153481,-20,1,11,-30,3,hltv_chase,c3ddd683
96,153733,-20,1,11,30,0,hltv_chase,c3ddd683
112,153927,20,1,8,-20,5,hltv_chase,c3ddd683
112,154311,20,1,4,20,13,hltv_chase,c3ddd683
112,154695,20,1,11,20,0,hltv_chase,c3ddd683
112,155079,20,1,11,20,0,hltv_chase,c3ddd683
112,155463,20,1,2,-20,12,hltv_chase,c3ddd683
96,155847,-20,1,5,-30,12,hltv_chase,c3ddd683
96,156091,-20,1,4,-30,5,hltv_chase,c3ddd683
112,156521,20,1,6,-20,2,hltv_chase,c3ddd683
96,156905,-20,1,6,-30,2,hltv_chase,c3ddd683
112,157247,20,1,6,20,0,hltv_chase,c3ddd683
112,157631,20,1,6,-20,11,hltv_chase,c3ddd683
96,158015,-20,1,6,30,11,hltv_chase,c3ddd683
112,158239,20,1,6,-20,13,hltv_chase,c3ddd683
96,158751,-20,1,6,30,0,hltv_chase,c3ddd683
112,159315,20,1,5,20,2,hltv_chase,c3ddd683
112,159699,20,1,2,-20,11,hltv_chase,c3ddd683
96,160083,-20,1,4,-30,9,hltv_chase,c3ddd683
96,160535,-20,1,4,30,5,hltv_chase,c3ddd683
112,160871,20,1,3,20,0,hltv_chase,c3ddd683
96,161255,-20,1,4,30,0,hltv_chase,c3ddd683
96,161823,-20,1,12,-30,11,hltv_chase,c3ddd683
96,162309,-20,1,6,30,9,hltv_chase,c3ddd683
96,162793,-20,1,6,30,5,hltv_chase,c3ddd683
112,163185,20,1,6,-20,0,hltv_chase,c3ddd683
112,163569,20,1,3,20,6,hltv_chase,c3ddd683
112,163953,20,1,3,20,4,hltv_chase,c3ddd683
112,164337,20,1,6,-20,3,hltv_chase,c3ddd683
96,164721,-20,1,6,30,8,hltv_chase,c3ddd683
96,165115,-20,1,4,30,0,hltv_chase,c3ddd683
96,165313,-20,1,5,30,0,hltv_chase,c3ddd683
96,165729,-20,1,2,30,0,hltv_chase,c3ddd683
96,166131,-20,1,13,30,0,hltv_chase,c3ddd683
112,166357,20,1,2,-20,5,hltv_chase,c3ddd683
112,166741,20,1,2,20,5,hltv_chase,c3ddd683
96,167125,-20,1,13,30,0,hltv_chase,c3ddd683
96,167351,-20,1,2,30,0,hltv_chase,c3ddd683
96,167559,-20,1,4,30,9,hltv_chase,c3ddd683
96,167903,-20,1,11,30,0,hltv_chase,c3ddd683
96,168293,-20,1,8,30,0,hltv_chase,c3ddd683
112,168535,20,1,13,20,5,hltv_chase,c3ddd683
96,168919,-20,1,11,30,12,hltv_chase,c3ddd683
500,169131,45,1,5,180,0,hltv_chase,c3ddd683
96,169469,-20,1,6,30,8,hltv_chase,c3ddd683
96,170029,-20,1,6,-30,5,hltv_chase,c3ddd683
96,170441,-20,1,11,30,6,hltv_chase,c3ddd683
96,170867,-20,1,3,30,11,hltv_chase,c3ddd683
112,171177,20,1,13,-20,3,hltv_chase,c3ddd683
112,171689,20,1,13,-20,3,hltv_chase,c3ddd683
96,172201,-20,1,6,30,0,hltv_chase,c3ddd683
96,172523,-20,1,8,30,0,hltv_chase,c3ddd683
96,172977,-20,1,8,30,0,hltv_chase,c3ddd683
96,173367,-20,1,4,30,0,hltv_chase,c3ddd683
96,173691,-20,1,13,30,0,hltv_chase,c3ddd683
96,174049,-20,1,12,30,5,hltv_chase,c3ddd683
112,174421,20,1,8,20,2,hltv_chase,c3ddd683
96,174805,-20,1,11,30,3,hltv_chase,c3ddd683
96,175221,-20,1,2,30,0,hltv_chase,c3ddd683
96,175543,-20,1,13,30,11,hltv_chase,c3ddd683
96,176063,-20,1,12,30,0,hltv_chase,c3ddd683
96,176269,-20,1,12,30,0,hltv_chase,c3ddd683
112,176647,20,1,9,-20,2,hltv_chase,c3ddd683
96,177031,-20,1,6,30,0,hltv_chase,c3ddd683
96,177607,-20,1,4,30,9,hltv_chase,c3ddd683
96,177851,-20,1,2,30,0,hltv_chase,c3ddd683
96,178147,-20,1,13,30,0,hltv_chase,c3ddd683
112,178341,20,1,2,20,13,hltv_chase,c3ddd683
96,178725,-20,1,13,-30,2,hltv_chase,c3ddd683
112,178953,20,1,4,-20,12,hltv_chase,c3ddd683
96,179466,-20,1,11,30,0,hltv_chase,c3ddd683
96,179788,-20,1,2,30,0,hltv_chase,c3ddd683
112,180200,20,1,2,-20,9,hltv_chase,c3ddd683
96,180584,-20,1,4,30,0,hltv_chase,c3ddd683
96,180996,-20,1,5,30,0,hltv_chase,c3ddd683
96,181230,-20,1,2,30,3,hltv_chase,c3ddd683
96,181632,-20,1,5,30,13,hltv_chase,c3ddd683
96,181958,-20,1,11,30,0,hltv_chase,c3ddd683
96,182338,-20,1,12,-30,9,hltv_chase,c3ddd683
